ID,EID,Original_Sentence,Modal_Verb,Marked_Sentence_English,Marked_Sentence_Japanese,Source_Modal,Tested_Modal,Transformation_Strategy,Transformation_Category,Palmer_Annotations,Quirk_Annotations,Palmer_Expected,Quirk_Expected,Grammaticality_Expected,Completed,Annotation_Notes,Grammaticality_Explanation,Repair_Status
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_orig,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,will,I bought a lottery ticket and have a feeling I *will* win.,"",will,will,original,original,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",epistemic,prediction,yes,1,Original sentence from dataset. Modal: 'will'. Verified and complete.,"",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_can,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,can,I bought a lottery ticket and have a feeling I *can* win.,"",will,can,prediction_to_ability_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'can'. Strategy: prediction_to_ability_substitution. Please verify grammaticality and classify modal categories.,"The modal *can* is correctly used in the base form after the subject *I*, expressing possibility in the clause ""I can win."" The placement and agreement are appropriate, and the overall sentence is grammatically acceptable.",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_could,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,could,I bought a lottery ticket and have a feeling I *could* win.,"",will,could,prediction_to_ability_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'could'. Strategy: prediction_to_ability_substitution. Please verify grammaticality and classify modal categories.,"",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_may,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,may,I bought a lottery ticket and have a feeling I *may* win.,"",will,may,prediction_to_permission_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'may'. Strategy: prediction_to_permission_substitution. Please verify grammaticality and classify modal categories.,"The modal *may* is correctly used in the clause ""I may win"" to express possibility. Its form, placement, and agreement are all appropriate for the sentence.",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_might,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,might,I bought a lottery ticket and have a feeling I *might* win.,"",will,might,prediction_to_possibility,entailment,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'might'. Strategy: prediction_to_possibility. Please verify grammaticality and classify modal categories.,"",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_must,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,must,I bought a lottery ticket and have a feeling I *must* win.,"",will,must,prediction_to_necessity_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'must'. Strategy: prediction_to_necessity_substitution. Please verify grammaticality and classify modal categories.,"The modal *must* is correctly used to express a strong belief or expectation that the speaker will win. Its form, placement, and subject agreement are all appropriate in the clause ""I must win.""",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_shall,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,shall,I bought a lottery ticket and have a feeling I *shall* win.,"",will,shall,prediction_to_obligation_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'shall'. Strategy: prediction_to_obligation_substitution. Please verify grammaticality and classify modal categories.,"The modal *shall* is correctly formed, placed, and agrees with the subject *I* in the future-tense clause ""I shall win."" While it is less common in contemporary informal English (where *will* is preferred), it remains grammatically acceptable, especially in formal or literary contexts.",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_should,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,should,I bought a lottery ticket and have a feeling I *should* win.,"",will,should,prediction_to_advice_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'should'. Strategy: prediction_to_advice_substitution. Please verify grammaticality and classify modal categories.,"",""
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_would,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,would,I bought a lottery ticket and have a feeling I *would win*.,"",will,would,prediction_to_conditional_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'would'. Strategy: prediction_to_conditional_substitution. Please verify grammaticality and classify modal categories.,"The modal *would* is used here to express a future possibility, but in this context it is not the standard or grammatical choice. Typically one would say ""I have a feeling I will win"" or ""I have a feeling I might win."" The use of *would* without a conditional or reported‑speech context is considered ungrammatical or at least non‑idiomatic.",api
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_ought_to,8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908,I bought a lottery ticket and have a feeling I will win.,ought to,I bought a lottery ticket and have a feeling I *ought to* win.,"",will,ought to,prediction_to_advice_substitution,substitution,"[""epistemic"", ""epistemic"", ""epistemic""]","[""prediction"", ""prediction"", ""prediction""]",unknown,unknown,yes,0,Modal substitution: 'will' → 'ought to'. Strategy: prediction_to_advice_substitution. Please verify grammaticality and classify modal categories.,"The modal *ought to* is correctly formed and placed before the infinitive *win*. It expresses a sense of expectation or advisability, which is acceptable in this context, even though the idea of an obligation to win a lottery is semantically odd. The construction itself is grammatically sound.",""
